time,LT
1.02,323
1.021,323
1.022,323
1.023,322
1.024,321
1.025,322
1.026,322
1.027,322
1.028,322
1.029,322
1.03,324
1.031,324
1.032,322
1.033,322
1.034,321
1.035,321
1.036,322
1.037,321
1.038,322
1.039,320
1.04,321
1.041,322
1.042,322
1.043,322
1.044,325
1.045,327
1.046,322
1.047,322
1.048,323
1.049,322
1.05,324
1.051,327
1.052,326
1.053,324
1.054,323
1.055,324
1.056,324
1.057,324
1.058,323
1.059,324
1.06,325
1.061,325
1.062,325
1.063,325
1.064,324
1.065,325
1.066,323
1.067,323
1.068,324
1.069,323
1.07,322
1.071,323
1.072,321
1.073,320
1.074,322
1.075,322
1.076,323
1.077,322
1.078,322
1.079,321
1.08,321
1.081,320
1.082,322
1.083,322
1.084,321
1.085,320
1.086,323
1.087,324
1.088,322
1.089,323
1.09,322
1.091,322
1.092,321
1.093,322
1.094,324
1.095,324
1.096,323
1.097,320
1.098,321
1.099,321
1.1,321
1.101,320
1.102,323
1.103,323
1.104,321
1.105,321
1.106,321
1.107,321
1.108,321
1.109,320
1.11,320
1.111,321
1.112,320
1.113,320
1.114,321
1.115,322
1.116,321
1.117,322
1.118,322
1.119,321
1.12,323
1.121,323
1.122,322
1.123,322
1.124,323
1.125,323
1.126,323
1.127,323
1.128,322
1.129,321
1.13,322
1.131,322
1.132,324
1.133,324
1.134,322
1.135,321
1.136,321
1.137,322
1.138,320
1.139,320
1.14,322
1.141,323
1.142,324
1.143,326
1.144,326
1.145,322
1.146,320
1.147,321
1.148,322
1.149,323
1.15,323
1.151,323
1.152,324
1.153,323
1.154,325
1.155,324
1.156,323
1.157,324
1.158,324
1.159,323
1.16,321
1.161,323
1.162,323
1.163,323
1.164,322
1.165,323
1.166,323
1.167,321
1.168,321
1.169,322
1.17,324
1.171,324
1.172,321
1.173,321
1.174,323
1.175,322
1.176,321
1.177,321
1.178,324
1.179,324
1.18,321
1.181,322
1.182,322
1.183,322
1.184,321
1.185,323
1.186,323
1.187,323
1.188,322
1.189,324
1.19,322
1.191,321
1.192,323
1.193,322
1.194,323
1.195,324
1.196,325
1.197,325
1.198,325
1.199,324
1.2,324
1.201,324
1.202,322
1.203,322
1.204,322
1.205,323
1.206,322
1.207,322
1.208,322
1.209,321
1.21,321
1.211,320
1.212,321
1.213,323
1.214,324
1.215,323
1.216,322
1.217,320
1.218,320
1.219,318
1.22,318
1.221,320
1.222,321
1.223,320
1.224,320
1.225,321
1.226,320
1.227,319
1.228,319
1.229,321
1.23,323
1.231,323
1.232,321
1.233,321
1.234,321
1.235,324
1.236,326
1.237,325
1.238,326
1.239,327
1.24,328
1.241,328
1.242,326
1.243,326
1.244,323
1.245,325
1.246,326
1.247,327
1.248,328
1.249,329
1.25,326
1.251,327
1.252,325
1.253,325
1.254,322
1.255,322
1.256,321
1.257,320
1.258,318
1.259,320
1.26,323
1.261,321
1.262,323
1.263,325
1.264,324
1.265,322
1.266,320
1.267,320
1.268,320
1.269,319
1.27,320
1.271,324
1.272,324
1.273,324
1.274,324
1.275,327
1.276,326
1.277,324
1.278,323
1.279,322
1.28,324
1.281,321
1.282,323
1.283,324
1.284,325
1.285,326
1.286,324
1.287,328
1.288,329
1.289,323
1.29,319
1.291,315
1.292,317
1.293,320
1.294,323
1.295,325
1.296,324
1.297,324
1.298,322
1.299,322
1.3,322
1.301,323
1.302,327
1.303,327
1.304,327
1.305,327
1.306,326
1.307,328
1.308,330
1.309,330
1.31,330
1.311,329
1.312,326
1.313,330
1.314,330
1.315,324
1.316,320
1.317,319
1.318,316
1.319,317
1.32,319
1.321,318
1.322,318
1.323,320
1.324,317
1.325,314
1.326,314
1.327,318
1.328,322
1.329,325
1.33,326
1.331,327
1.332,328
1.333,326
1.334,324
1.335,325
1.336,331
1.337,337
1.338,336
1.339,335
1.34,330
1.341,327
1.342,325
1.343,323
1.344,318
1.345,317
1.346,316
1.347,321
1.348,326
1.349,324
1.35,321
1.351,320
1.352,318
1.353,318
1.354,318
1.355,318
1.356,318
1.357,316
1.358,316
1.359,318
1.36,321
1.361,323
1.362,329
1.363,331
1.364,331
1.365,331
1.366,332
1.367,329
1.368,329
1.369,326
1.37,319
1.371,315
1.372,314
1.373,310
1.374,311
1.375,314
1.376,316
1.377,317
1.378,315
1.379,313
1.38,312
1.381,313
1.382,316
1.383,317
1.384,320
1.385,319
1.386,322
1.387,327
1.388,330
1.389,336
1.39,335
1.391,338
1.392,339
